match_id,date,team,opponent,venue,inning,milestone,legal_balls_faced
1001349,2017/02/17,Australia,Sri Lanka,Melbourne Cricket Ground,1,50,40
1001349,2017/02/17,Australia,Sri Lanka,Melbourne Cricket Ground,1,100,84
1001349,2017/02/17,Australia,Sri Lanka,Melbourne Cricket Ground,1,150,109
1001349,2017/02/17,Sri Lanka,Australia,Melbourne Cricket Ground,2,50,26
1001349,2017/02/17,Sri Lanka,Australia,Melbourne Cricket Ground,2,100,74
1001349,2017/02/17,Sri Lanka,Australia,Melbourne Cricket Ground,2,150,101
1001351,2017/02/19,Australia,Sri Lanka,"Simonds Stadium, South Geelong",1,50,34
1001351,2017/02/19,Australia,Sri Lanka,"Simonds Stadium, South Geelong",1,100,68
1001351,2017/02/19,Australia,Sri Lanka,"Simonds Stadium, South Geelong",1,150,103
1001351,2017/02/19,Sri Lanka,Australia,"Simonds Stadium, South Geelong",2,50,41
1001351,2017/02/19,Sri Lanka,Australia,"Simonds Stadium, South Geelong",2,100,80
1001351,2017/02/19,Sri Lanka,Australia,"Simonds Stadium, South Geelong",2,150,111
1001353,2017/02/22,Australia,Sri Lanka,Adelaide Oval,1,50,29
1001353,2017/02/22,Australia,Sri Lanka,Adelaide Oval,1,100,66
1001353,2017/02/22,Australia,Sri Lanka,Adelaide Oval,1,150,98
1001353,2017/02/22,Sri Lanka,Australia,Adelaide Oval,2,50,30
1001353,2017/02/22,Sri Lanka,Australia,Adelaide Oval,2,100,79
1004729,2016/09/05,Hong Kong,Ireland,"Bready Cricket Club, Magheramason",1,50,30
1004729,2016/09/05,Hong Kong,Ireland,"Bready Cricket Club, Magheramason",1,100,74
1004729,2016/09/05,Hong Kong,Ireland,"Bready Cricket Club, Magheramason",1,150,108
1004729,2016/09/05,Ireland,Hong Kong,"Bready Cricket Club, Magheramason",2,50,51
1004729,2016/09/05,Ireland,Hong Kong,"Bready Cricket Club, Magheramason",2,100,81
1007655,2016/06/18,Zimbabwe,India,Harare Sports Club,1,50,41
1007655,2016/06/18,Zimbabwe,India,Harare Sports Club,1,100,84
1007655,2016/06/18,Zimbabwe,India,Harare Sports Club,1,150,113
1007655,2016/06/18,India,Zimbabwe,Harare Sports Club,2,50,43
1007655,2016/06/18,India,Zimbabwe,Harare Sports Club,2,100,81
1007655,2016/06/18,India,Zimbabwe,Harare Sports Club,2,150,107
1007657,2016/06/20,Zimbabwe,India,Harare Sports Club,1,50,58
1007657,2016/06/20,India,Zimbabwe,Harare Sports Club,2,50,46
1007657,2016/06/20,India,Zimbabwe,Harare Sports Club,2,100,79
