match_id,date,opponent,inning,milestone,legal_balls_faced,record_type
1007655,2016/06/18,Zimbabwe,1,50,41,Against India
1007655,2016/06/18,Zimbabwe,1,100,84,Against India
1007655,2016/06/18,Zimbabwe,1,150,113,Against India
1007655,2016/06/18,Zimbabwe,2,50,43,India
1007655,2016/06/18,Zimbabwe,2,100,81,India
1007655,2016/06/18,Zimbabwe,2,150,107,India
1007657,2016/06/20,Zimbabwe,1,50,58,Against India
1007657,2016/06/20,Zimbabwe,2,50,46,India
1007657,2016/06/20,Zimbabwe,2,100,79,India
1007659,2016/06/22,Zimbabwe,1,50,55,India
1007659,2016/06/22,Zimbabwe,1,100,103,India
1007659,2016/06/22,Zimbabwe,2,50,47,Against India
1007659,2016/06/22,Zimbabwe,2,100,99,Against India
1034825,2017/01/26,England,1,50,38,India
1034825,2017/01/26,England,1,100,82,India
1034825,2017/01/26,England,2,50,38,Against India
1034825,2017/01/26,England,2,100,75,Against India
1034827,2017/01/29,England,1,50,40,India
1034827,2017/01/29,England,1,100,82,India
1034827,2017/01/29,England,2,50,49,Against India
1034827,2017/01/29,England,2,100,89,Against India
1034829,2017/02/01,England,1,50,35,India
1034829,2017/02/01,England,1,100,73,India
1034829,2017/02/01,England,1,150,101,India
1034829,2017/02/01,England,1,200,119,India
1034829,2017/02/01,England,2,50,34,Against India
1034829,2017/02/01,England,2,100,69,Against India
1041615,2016/08/27,West Indies,1,50,25,Against India
1041615,2016/08/27,West Indies,1,100,46,Against India
1041615,2016/08/27,West Indies,1,150,63,Against India
1041615,2016/08/27,West Indies,1,200,91,Against India
1041615,2016/08/27,West Indies,2,50,29,India
1041615,2016/08/27,West Indies,2,100,51,India
1041615,2016/08/27,West Indies,2,150,78,India
1041615,2016/08/27,West Indies,2,200,98,India
1041617,2016/08/28,West Indies,1,50,30,Against India
1041617,2016/08/28,West Indies,1,100,80,Against India
1098211,2017/07/09,West Indies,1,50,28,India
1098211,2017/07/09,West Indies,1,100,65,India
1098211,2017/07/09,West Indies,1,150,92,India
1098211,2017/07/09,West Indies,2,50,28,Against India
1098211,2017/07/09,West Indies,2,100,61,Against India
1098211,2017/07/09,West Indies,2,150,91,Against India
1109610,2017/09/06,Sri Lanka,1,50,31,Against India
1109610,2017/09/06,Sri Lanka,1,100,69,Against India
1109610,2017/09/06,Sri Lanka,1,150,113,Against India
1109610,2017/09/06,Sri Lanka,2,50,43,India
1109610,2017/09/06,Sri Lanka,2,100,69,India
1109610,2017/09/06,Sri Lanka,2,150,104,India
1119501,2017/10/07,Australia,1,50,37,Against India
1119501,2017/10/07,Australia,1,100,98,Against India
1119502,2017/10/10,Australia,1,50,49,India
1119502,2017/10/10,Australia,1,100,101,India
1119502,2017/10/10,Australia,2,50,48,Against India
1119502,2017/10/10,Australia,2,100,86,Against India
1119543,2018/07/03,England,1,50,29,Against India
1119543,2018/07/03,England,1,100,72,Against India
1119543,2018/07/03,England,1,150,112,Against India
1119543,2018/07/03,England,2,50,34,India
1119543,2018/07/03,England,2,100,59,India
1119543,2018/07/03,England,2,150,104,India
1119544,2018/07/06,England,1,50,58,India
1119544,2018/07/06,England,1,100,96,India
1119544,2018/07/06,England,2,50,49,Against India
1119544,2018/07/06,England,2,100,86,Against India
1119545,2018/07/08,England,1,50,27,Against India
1119545,2018/07/08,England,1,100,55,Against India
1119545,2018/07/08,England,1,150,90,Against India
1119545,2018/07/08,England,2,50,29,India
1119545,2018/07/08,England,2,100,60,India
1119545,2018/07/08,England,2,150,85,India
1119545,2018/07/08,England,2,200,112,India
1120093,2017/11/01,New Zealand,1,50,40,India
1120093,2017/11/01,New Zealand,1,100,72,India
1120093,2017/11/01,New Zealand,1,150,93,India
1120093,2017/11/01,New Zealand,1,200,119,India
1120093,2017/11/01,New Zealand,2,50,51,Against India
1120093,2017/11/01,New Zealand,2,100,94,Against India
1120094,2017/11/04,New Zealand,1,50,39,Against India
1120094,2017/11/04,New Zealand,1,100,66,Against India
1120094,2017/11/04,New Zealand,1,150,94,Against India
1120094,2017/11/04,New Zealand,2,50,44,India
1120094,2017/11/04,New Zealand,2,100,80,India
1120094,2017/11/04,New Zealand,2,150,115,India
1120095,2017/11/07,New Zealand,1,50,36,India
1120095,2017/11/07,New Zealand,2,50,43,Against India
1122285,2018/02/18,South Africa,1,50,27,India
1122285,2018/02/18,South Africa,1,100,50,India
1122285,2018/02/18,South Africa,1,150,85,India
1122285,2018/02/18,South Africa,1,200,118,India
1122285,2018/02/18,South Africa,2,50,40,Against India
1122285,2018/02/18,South Africa,2,100,71,Against India
1122285,2018/02/18,South Africa,2,150,101,Against India
1122286,2018/02/21,South Africa,1,50,41,India
1122286,2018/02/21,South Africa,1,100,74,India
1122286,2018/02/21,South Africa,1,150,104,India
1122286,2018/02/21,South Africa,2,50,35,Against India
1122286,2018/02/21,South Africa,2,100,66,Against India
1122286,2018/02/21,South Africa,2,150,94,Against India
1122287,2018/02/24,South Africa,1,50,32,India
1122287,2018/02/24,South Africa,1,100,72,India
1122287,2018/02/24,South Africa,1,150,109,India
1122287,2018/02/24,South Africa,2,50,57,Against India
1122287,2018/02/24,South Africa,2,100,89,Against India
1122287,2018/02/24,South Africa,2,150,112,Against India
1122729,2017/12/20,Sri Lanka,1,50,36,India
1122729,2017/12/20,Sri Lanka,1,100,75,India
1122729,2017/12/20,Sri Lanka,1,150,110,India
1122729,2017/12/20,Sri Lanka,2,50,49,Against India
1122730,2017/12/22,Sri Lanka,1,50,33,India
1122730,2017/12/22,Sri Lanka,1,100,52,India
1122730,2017/12/22,Sri Lanka,1,150,73,India
1122730,2017/12/22,Sri Lanka,1,200,94,India
1122730,2017/12/22,Sri Lanka,1,250,113,India
1122730,2017/12/22,Sri Lanka,2,50,34,Against India
1122730,2017/12/22,Sri Lanka,2,100,60,Against India
1122730,2017/12/22,Sri Lanka,2,150,83,Against India
1122731,2017/12/24,Sri Lanka,1,50,45,Against India
1122731,2017/12/24,Sri Lanka,1,100,94,Against India
1122731,2017/12/24,Sri Lanka,2,50,54,India
1122731,2017/12/24,Sri Lanka,2,100,91,India
1133817,2018/03/06,Sri Lanka,1,50,44,India
1133817,2018/03/06,Sri Lanka,1,100,72,India
1133817,2018/03/06,Sri Lanka,1,150,102,India
1133817,2018/03/06,Sri Lanka,2,50,22,Against India
1133817,2018/03/06,Sri Lanka,2,100,58,Against India
1133817,2018/03/06,Sri Lanka,2,150,101,Against India
1133818,2018/03/08,Bangladesh,1,50,41,Against India
1133818,2018/03/08,Bangladesh,1,100,89,Against India
1133818,2018/03/08,Bangladesh,2,50,38,India
1133818,2018/03/08,Bangladesh,2,100,79,India
1133820,2018/03/12,Sri Lanka,1,50,31,Against India
1133820,2018/03/12,Sri Lanka,1,100,65,Against India
1133820,2018/03/12,Sri Lanka,1,150,109,Against India
1133820,2018/03/12,Sri Lanka,2,50,36,India
1133820,2018/03/12,Sri Lanka,2,100,71,India
1133820,2018/03/12,Sri Lanka,2,150,104,India
1133821,2018/03/14,Bangladesh,1,50,37,India
1133821,2018/03/14,Bangladesh,1,100,81,India
1133821,2018/03/14,Bangladesh,1,150,106,India
1133821,2018/03/14,Bangladesh,2,50,38,Against India
1133821,2018/03/14,Bangladesh,2,100,78,Against India
1133821,2018/03/14,Bangladesh,2,150,115,Against India
1133823,2018/03/18,Bangladesh,1,50,44,Against India
1133823,2018/03/18,Bangladesh,1,100,84,Against India
1133823,2018/03/18,Bangladesh,1,150,115,Against India
1133823,2018/03/18,Bangladesh,2,50,32,India
1133823,2018/03/18,Bangladesh,2,100,82,India
1133823,2018/03/18,Bangladesh,2,150,113,India
1140992,2018/06/27,Ireland,1,50,30,India
1140992,2018/06/27,Ireland,1,100,61,India
1140992,2018/06/27,Ireland,1,150,91,India
1140992,2018/06/27,Ireland,1,200,114,India
1140992,2018/06/27,Ireland,2,50,41,Against India
1140992,2018/06/27,Ireland,2,100,81,Against India
1140993,2018/06/29,Ireland,1,50,29,India
1140993,2018/06/29,Ireland,1,100,60,India
1140993,2018/06/29,Ireland,1,150,92,India
1140993,2018/06/29,Ireland,1,200,117,India
1140993,2018/06/29,Ireland,2,50,59,Against India
1144990,2018/11/21,Australia,1,50,45,Against India
1144990,2018/11/21,Australia,1,100,77,Against India
1144990,2018/11/21,Australia,1,150,95,Against India
1144990,2018/11/21,Australia,2,50,35,India
1144990,2018/11/21,Australia,2,100,68,India
1144990,2018/11/21,Australia,2,150,90,India
1144991,2018/11/23,Australia,1,50,51,Against India
1144991,2018/11/23,Australia,1,100,95,Against India
1144992,2018/11/25,Australia,1,50,38,Against India
1144992,2018/11/25,Australia,1,100,85,Against India
1144992,2018/11/25,Australia,1,150,115,Against India
1144992,2018/11/25,Australia,2,50,28,India
1144992,2018/11/25,Australia,2,100,71,India
1144992,2018/11/25,Australia,2,150,109,India
1153696,2019/02/06,New Zealand,1,50,28,Against India
1153696,2019/02/06,New Zealand,1,100,62,Against India
1153696,2019/02/06,New Zealand,1,150,86,Against India
1153696,2019/02/06,New Zealand,1,200,113,Against India
1153696,2019/02/06,New Zealand,2,50,32,India
1153696,2019/02/06,New Zealand,2,100,87,India
1153697,2019/02/08,New Zealand,1,50,46,Against India
1153697,2019/02/08,New Zealand,1,100,76,Against India
1153697,2019/02/08,New Zealand,1,150,112,Against India
1153697,2019/02/08,New Zealand,2,50,36,India
1153697,2019/02/08,New Zealand,2,100,75,India
1153697,2019/02/08,New Zealand,2,150,103,India
